name,address,type,opened,closed,borough,date_approx
Sheridan Square Health Club,4th and Christopher Streets (Greenwich Village),gym,1965,1985,Manhattan,yes
Sazerac House,"533 Hudson St, New York, NY 10014",restaurant,1965,2006,Manhattan,no
Leather Man,"85 Christopher St, New York, NY 10014",sex shop,1965,2025,Manhattan,yes
Carr's,"204 W 10th St, New York, NY 10014",bar,1966,,Manhattan,yes
Broadway Arms,"218 W 49th St, New York, NY 10019",baths,1967,1991,Manhattan,no
Oscar Wilde Memorial Book Store,"15 Christopher St, New York, NY 10014",bookstore,1967,2009,Manhattan,no
Christopher Street Book Shop,"500 Hudson St, New York, NY 10014",bookstore,1967,2009,Manhattan,no
Corduroy Club,"240 W 38th St, New York, NY 10018",private club,1967,1971,Manhattan,no
Serendipity General Store,"225 E 60th St, New York, NY 10022",after hours malt shop,1968,1974,Manhattan,yes
The Camp,"W 69th St & Columbus Ave, New York, NY 10023",after hours place,1968,1974,Manhattan,yes
Big Spender,"315 W 48th St, New York, NY 10019",bar,1968,,Manhattan,
Suana baths & Health Club,"18 W 58th St, New York, NY 10019",baths,1968,1974,Manhattan,yes
Continental Baths at the Ansonia Hotel,"230 W 74th St, New York, NY 10023",baths,1968,1976,Manhattan,no
Omnibus,"69 W 10th St, New York, NY 10011",coffee shop,1968,1974,Manhattan,yes
The Laundry Chute,"W 74th St & Amsterdam Ave, New York, NY 10023",coffee shop,1968,1974,Manhattan,yes
Tenth of Always,"82 W 3rd St, New York, NY 10012",juice bar,1968,1972,Manhattan,
NY Motorbike Club,"149 W 21st St, New York, NY 10011",private club,1968,1974,Manhattan,yes
The New Gallery (in Van Rensselaer Hotel),"15 E 11th St, New York, NY 10003",private club,1968,1974,Manhattan,yes
Mystique East,"256 E 49th St, New York, NY 10022",private club,1968,1974,Manhattan,yes
The Great Society,"2nd Ave & E 14th St, New York, NY 10003",private club,1968,1974,Manhattan,yes
Two Penny Club,"36 E 30th St, New York, NY 10016",private club,1968,1974,Manhattan,yes
El Baron Club,"74-02 Eliot Ave, Flushing, NY 11379",private club,1968,1974,Queens,yes
Table Top Club,"E 93rd St & 3rd Ave, New York, NY 10128",private club,1968,1974,Manhattan,yes
The Den,"Greenwich St & W 12th St, New York, NY 10014",private club,1968,1974,Manhattan,yes
Stud (International),"731 Greenwich St, New York, NY 10014",bar/backroom,1969,1981,Manhattan,yes
Eros Male Cinema,"732 8th Ave, New York, NY 10036",cinema,1969,1997,Manhattan,no
Horn of Plenty,"91 Charles St, New York, NY 10014",restaurant,1969,1984,Manhattan,yes
The Snake Pit,"215 W 10th St, New York, NY 10014",after hours bar,1970,1971,Manhattan,yes
The Eagle,"142 11th Ave, New York, NY 10011",bar,1970,2025,Manhattan,no
The Toilet,"400 W 14th St, New York, NY 10014",bar/club/backroom,1970,1986,Manhattan,yes
42nd Street Barracks,"226 W 42nd St, New York, NY 10036",baths,1970,1985,Manhattan,yes
Beacon Baths,"227 E 45th St, New York, NY 10017",baths,1970,1985,Manhattan,yes
Sauna Baths,"300 W 58th St, New York, NY 10019",baths,1970,1985,Manhattan,yes
Ansonia Books,"170 W 74th St, New York, NY 10023",bookstore,1970,1980,Manhattan,yes
Studio Book Store,"178 Christopher St, New York, NY 10014",bookstore,1970,1980,Manhattan,yes
Black Jack Books,"210 W 42nd St, New York, NY 10036",bookstore,1970,1979,Manhattan,yes
Les Hommes Book Store,"217 W 80th St, New York, NY 10024",bookstore,1970,1986,Manhattan,yes
Midtown Bookstore,"318 W 42nd St, New York, NY 10036",bookstore,1970,1995,Manhattan,yes
Pandora Books,"88 Court St, Brooklyn, NY 11201",bookstore,1970,1989,Brooklyn,yes
Crisco Disco,"9th Ave & W 15th St, New York, NY 10011",disco,1970,1983,Manhattan,no
The Noose,"261 W 19th St, New York, NY 10011",erotica,1970,2007,Manhattan,yes
David Manscuso Residence/The Loft,"645-547 Broadway, New York, NY 10012",house party,1970,1974,Manhattan,no
Glory Hole,"130 11th Ave, New York, NY 10011",private club,1970,1995,Manhattan,yes
Manhole,"28 9th Ave, New York, NY 10014",private club,1970,1989,Manhattan,yes
Gilded Grape,"719 8th Ave, New York, NY 10036",restaurant,1970,1977,Manhattan,yes
Hungry Hildas,"709 8th Ave, New York, NY 10036",restaurant,1970,1979,Manhattan,yes
Legend Gallery,"152 7th Ave S, New York, NY 10014",sex shop,1970,1980,Manhattan,yes
Ron Alter Designs,"167 8th Ave, New York, NY 10011",sex shop,1970,1978,Manhattan,yes
Marquis de Suede,"20 W 22nd St, New York, NY 10010",sex shop,1970,1980,Manhattan,yes
Jorge Menendez,"444 Central Park W, New York, NY 10025",sex shop,1970,1978,Manhattan,yes
Hernando's,"9 Christopher St, New York, NY 10014",sex shop,1970,1985,Manhattan,yes
Fire House,"99 Wooster St, New York, NY 10012",activist dances,1971,1974,Manhattan,no
Regent of Tokyo,"251 W 53rd St, New York, NY 10019",bar,1971,1974,Manhattan,yes
Club baths,"24 1st Ave, New York, NY 10009",baths,1971,1985,Manhattan,no
Community Book Stores,"162 Montague St, Brooklyn, NY 11201",bookstore,1971,2025,Brooklyn,no
New David Cinema,"236 W 54th St, New York, NY 10019",cinema,1971,1995,Manhattan,yes
Al Buon Gusto,"257 Columbus Ave, New York, NY 10023",restaurant,1971,1972,Manhattan,yes
Beaded Bag,"951 1st Ave, New York, NY 10022",restaurant,1971,1972,Manhattan,yes
Circus Lounge,"1369 Flatbush Ave, Brooklyn, NY 11210",restaurant,1971,1972,Manhattan,yes
El Mirador,"899 1st Ave, New York, NY 10022",restaurant,1971,1972,Manhattan,yes
Hot Line,"1544 12th Ave, New York, NY 10036",restaurant,1971,1972,Manhattan,yes
Luigi II,"104 W 13th St, New York, NY 10011",restaurant,1971,1972,Manhattan,yes
Male Box,"1716 2nd Avenue, New York, NY 10128",restaurant,1971,1972,Manhattan,yes
One Potato,"518 Hudson St, New York, NY 10014",restaurant,1971,1993,Manhattan,yes
Rafiki,"170 Avenue A, New York, NY 10009",restaurant,1971,1993,Manhattan,yes
Spring Street Restaurant and Bar,"162 Spring St, New York, NY 10012",restaurant,1971,1994,Manhattan,yes
The Striped Shirt,"1393 2nd Ave, New York, NY 10021",restaurant,1971,1972,Manhattan,yes
Troubador,"1078 1st Ave, New York, NY 10022",restaurant,1971,1974,Manhattan,yes
Walter's Apartment,"1068 2nd Ave, New York, NY 10022",bar,1972,1974,Manhattan,yes
Charlie's Also,"1154 1st Ave, New York, NY 10065",bar,1972,NA,Manhattan,
Ruby Foo,"240 W 52nd St, New York, NY 10019",bar,1972,2015,Manhattan,yes
Better Days,"315 W 49th St, New York, NY 10019",bar,1972,1988,Manhattan,no
Bill Bailey's,"492 Bay St, Staten Island, NY 10304",bar,1972,1983,Staten Island,
Dutchess ,"70 Grove St, New York, NY 10014",bar,1972,1982,Manhattan,no
Bonnie & Clyde's,"82 W 3rd St, New York, NY 10012",bar,1972,1981,Manhattan,
The Gas Station,"70 Grove St, New York, NY 10014",bar/disco,1972,NA,Manhattan,yes
Man's Country,"28 W 15th St, New York, NY 10011",baths/gym/fantasy rooms,1972,1983,Manhattan,no
Fudge Factory,"308 E 59th St, New York, NY 10022",disco,1972,NA,Manhattan,yes
Mother Courage,"343 W 11th St, New York, NY 10014",restaurant,1972,1977,Manhattan,no
Reno Sweeney,"126 W 13th St, New York, NY 10011",restaurant,1972,1981,Manhattan,no
Uncle Charlie's North,"1049 Lexington Ave, New York, NY 10021",restaurant,1972,1984,Manhattan,yes
Uncle Charlie's South,"581 3rd Ave, New York, NY 10016",restaurant,1972,1988,Manhattan,yes
Le Joint,"120 W 51st St, New York, NY 10019",bar,1973,1974,Manhattan,yes
Ramrod,"394-395 West St, New York, NY 10014",bar,1973,1980,Manhattan,
Beat Goes East,"601 Morris Park Ave, Bronx, NY 10460",bar,1973,NA,Bronx,
Continental Sauna,"111 W 56th St, New York, NY 10019",baths,1973,1976,Manhattan,yes
Le Jardin,"110 West 43rd St, New York, NY 10036",disco,1973,1976,Manhattan,yes
Eagle Leathers,"P.O. Box 441 Canal Street Station, New York, NY. 10013",leather mail order,1973,NA,Manhattan,
Bushes,"23 W 73rd St, New York, NY 10023",restaurant/cabaret,1973,1980,Manhattan,yes
Grand Finale,"210 W 70th St, New York, NY 10023",restaurant,1973,1980,Manhattan,yes
"One If By Land, Two If By Sea","17 Barrow St, New York, NY 10014",restaurant,1973,2025,Manhattan,no
Ronnie's Supper Club,"324 E 49th St, New York, NY 10022",restaurant,1973,1974,Manhattan,yes
The Forest,"1436 3rd Ave, New York, NY 10028",restaurant,1973,1974,Manhattan,yes
When We Win,"1 Sheridan Square, New York, NY 10014",restaurant,1973,1974,Manhattan,yes
Boots and Saddle,"100a 7th Ave S, New York, NY 10014",bar,1974,2015,Manhattan,no
Wall Street Sauna,"1 Maiden Ln, New York, NY 10038",baths,1974,2004,Manhattan,no
Kelly's Village West,"46 Bedford St, New York, NY 10014",cabaret,1974,1991,Manhattan,yes
The Anvil,"500 W 14th St, New York, NY 10014",disco/backroom,1974,1986,Manhattan,no
Flamingo   ,"599 Broadway, New York, NY 10012",juice bar/disco,1974,1980,Manhattan,no
Beths,"1623 2nd Ave, New York, NY 10028",restaurant,1974,1975,Manhattan,yes
Casa Paco,"330 Bleecker St, New York, NY 10014",restaurant,1974,1985,Manhattan,yes
Charlie & Kelly's,"259 West 4th Street, New York, NY 10014",restaurant,1974,1981,Manhattan,yes
Dazzels,"180 Columbus Ave, New York, NY 10023",restaurant,1974,1975,Manhattan,yes
Johnny's Pub,"123 E 47th St, New York, NY 10017",restaurant,1974,1988,Manhattan,yes
The Ice Cream Connection,"24 St Marks Pl, New York, NY 10003",restaurant,1974,1975,Manhattan,yes
Uncle Charlie's Restaurant,"542 3rd Ave, New York, NY 10016",restaurant,1974,1997,Manhattan,yes
Yellow Brick Road,"228 W 10th St, New York, NY 10014",restaurant,1974,1975,Manhattan,yes
The Alley,"63-02 Roosevelt Ave Flushing, NY 11377",bar,1975,NA,Queens,
Womanbooks,"201 W 92nd St, New York, NY 10025",bookstore,1975,1987,Manhattan,no
Ramrod Theatre,"210 W 49th St, New York, NY 10019",cinema,1975,1980,Manhattan,yes
Adonis Cinema,"8th Ave & W 50th St, New York, NY 10019",cinema,1975,1990,Manhattan,no
Infinity,"653 Broadway, New York, NY 10012",disco,1975,1979,Manhattan,no
Twelve West,"491 West St, New York, NY 10014",juice bar/disco,1975,1980,Manhattan,no
Tor ,"21 Greenwich Ave, New York, NY 10014",restaurant,1975,1979,Manhattan,yes
Mother Earth,"381 Van Duzer St, Staten Island, NY 10304",bar,1976,1982,Staten Island,
The Mine Shaft,"835 Washington St, New York, NY 10014",bar/backroom,1976,1985,Manhattan,
Eastside Sauna,"227 E 56th St, New York, NY 10022",baths,1976,2025,Manhattan,no
Brazil,"86 Mills Ave, Staten Island, NY 10305",club,1976,1982,Staten Island,
Les Mouches,"260 W 11th St, New York, NY 10014",disco,1976,1982,Manhattan,yes
Hurrah,"36 W 62nd St, New York, NY 10023",disco,1976,1981,Manhattan,no
East Side Club,"227 E 56th St, New York, NY 10022",health club,1976,2025,Manhattan,no
Empire Diner,"154 11th Ave, New York, NY 10011",restaurant,1976,2025,Manhattan,no
Djuna Books,"154 W 10th St, New York, NY 10014",bookstore,1977,1982,Manhattan,no
Paradise Garage,"84 King St, New York, NY 10014",club,1977,1987,Manhattan,no
Studio 54 (originally Gallo Opera House),"254 W 54th St, New York, NY 10019",disco,1977,1986,Manhattan,
"New York, New York","33 E 52nd St, New York, NY 10022",disco,1977,1981,Manhattan,no
Ice Palace 57,"57 W 57th St, New York, NY 10019",disco,1977,1985,Manhattan,no
Starship Discovery I,"350 W 42nd St, New York, NY 10036",private disco/cabaret,1977,NA,Manhattan,yes
Jan Wallman's,"28 Cornelia St, New York, NY 10014",restaurant,1977,1986,Manhattan,yes
Red Parrot,"617 W 57th St, New York, NY 10019",club,1978,NA,Manhattan,
Roxy,"515 W 18th St, New York, NY 10011",disco,1978,2007,Manhattan,no
Chez Stadium,"56 Greenwich Ave, New York, NY 10011",restaurant,1978,1981,Manhattan,yes
Rawhide,"212 8th Ave, New York, NY 10011",bar,1979,2013,Manhattan,yes
Rounds,"303 E 53rd St, New York, NY 10022",bar/restaurant,1979,1994,Manhattan,yes
New St. Marks baths,"6 St Marks Pl, New York, NY 10003",baths,1979,1985,Manhattan,no
Park Villa II/On Stage,"70 Beach St, Staten Island, NY 10304",club,1979,1991,Staten Island,
Fiddlesticks,"205 Cypress Ave, Ridgewood, NY 11385",restaurant,1979,1981,Queens ,yes
Uncle Charlie's Downtown,"56 Greenwich Ave, New York, NY 10011",bar,1980,1997,Manhattan,no
Our Place,"7702 Broadway, Elmhurst, NY 11373",bar,1980,1985,Queens,
Blue's,"264 W 43rd St, New York, NY 10036",bar/disco,1980,1985,Manhattan,yes
Madison Card & Book Shop,"123 E 57th St, New York, NY 10022",bookstore,1980,1985,Manhattan,yes
Rendezvous Book Store,"38 W 28th St, New York, NY 10001",bookstore,1980,1990,Manhattan,yes
Tom Cat Book Store,"38 W 28th St, New York, NY 10001",bookstore,1980,1999,Manhattan,yes
Jaybird Books,"408 Jay St, Brooklyn, NY 11201",bookstore,1980,1990,Brooklyn,yes
The Saint,"105 2nd Ave, New York, NY 10003",disco,1980,1988,Manhattan,
Leather Loft,"313 Amsterdam Ave, New York, NY 10023",gay department store,1980,2005,Manhattan,yes
A Touch of Class,"113-24 Queens Blvd, Forest Hills, NY 11375",restaurant,1980,1982,Queens ,yes
Backstage,"318 W 45th St, New York, NY 10036",restaurant,1980,1983,Manhattan,yes
Big Dish,"383 W 12th St, New York, NY 10014",restaurant,1980,1985,Manhattan,yes
Big Wok,"753 Washington St, New York, NY 10014",restaurant,1980,1984,Manhattan,yes
Black Sheep,"342 W 11th St, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
Blowfish,"551 Hudson Street, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
Blue Skies,"183 W 10th St, New York, NY 10014",restaurant,1980,1984,Manhattan,yes
Chez Roman,"1406 3rd Ave, New York, NY 10075",restaurant,1980,1982,Manhattan,yes
Clyde's,"340 Bleecker St, New York, NY 10014",restaurant,1980,1988,Manhattan,yes
David's Pot Belly ,"98 Christopher St, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
Duff's,"115 Christopher St, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
Four Eleven,"411 Bleecker St, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
Fulton's Sidewalk Café,"2061 Broadway, New York, NY 10023",restaurant/café,1980,1985,Manhattan,yes
Jeffrey's,"228 W 10th St, New York, NY 10014",restaurant/cabaret,1980,1982,Manhattan,yes
Manhattan South,"1 Sheridan Square, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
Pennyfeathers,"89 7th Ave, New York, NY 10011",restaurant,1980,1982,Manhattan,yes
Pershing's,"234 Columbus Ave, New York, NY 10023",restaurant,1980,1985,Manhattan,yes
Pigalle Pigalle,"1047 2nd Ave, New York, NY 10022",restaurant,1980,1982,Manhattan,yes
Place Across the Street,"56 W 46th St, New York, NY 10036",restaurant,1980,1982,Manhattan,yes
Prive,"1st Ave. & E 59th St, New York, NY 10022",restaurant,1980,1982,Manhattan,yes
Solos,"248 E 52nd St, New York, NY 10022",restaurant/cabaret,1980,1982,Manhattan,yes
Stormy Weather,"1574 2nd Ave, New York, NY 10028",restaurant,1980,1982,Manhattan,yes
The Ballroom,"458 W Broadway, New York, NY 10012",restaurant,1980,1993,Manhattan,yes
Trilogy,"135 Christopher St, New York, NY 10014",restaurant,1980,1988,Manhattan,yes
Village Garden,"West 4th Street & Charles St, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
Village Green,"531 Hudson St, New York, NY 10014",restaurant,1980,1982,Manhattan,yes
York's Restaurant,"710 2nd Ave, New York, NY 10016",restaurant,1980,1982,Manhattan,yes
The River Club,"491 West St, New York, NY 10014",disco,1981,1985,Manhattan,no
Chelsea Gym,"267 W 17th St, New York, NY 10011",gym,1982,1995,Manhattan,yes
46th Street,"343 W 46th St, New York, NY 10036",restaurant/cabaret,1982,1983,Manhattan,yes
Belvedere,"239 3rd Ave, New York, NY 10003",restaurant,1982,1983,Manhattan,yes
Boodles,"1478 1st Ave., New York, NY 10075",restaurant,1982,1983,Manhattan,yes
Cajun,"129 8th Ave, New York, NY 10011",restaurant,1982,1983,Manhattan,yes
Chelsea Big Wok,"207 10th Ave, New York, NY 10011",restaurant,1982,1986,Manhattan,yes
Don't Tell Mama,"343 W 46th St, New York, NY 10036",restaurant,1982,2025,Manhattan,no
Heavenly Host,"463 Hudson St, New York, NY 10014",restaurant,1982,1983,Manhattan,yes
Il Gamberetto,"555 3rd Ave, New York, NY 10016",restaurant/cabaret,1982,1983,Manhattan,yes
Jason's Park Royal,"23 W 73rd St, New York, NY 10023",restaurant/cabaret,1982,1986,Manhattan,yes
La Boutique Fantastique Café,"215 W 92nd St, New York, NY 10025",restaurant,1982,1983,Manhattan,yes
La Cage Aux Folles,"334 E 73rd St, New York, NY 10021",restaurant/cabaret,1982,1983,Manhattan,yes
Les Nuages,"1436 3rd Ave, New York, NY 10028",restaurant,1982,1983,Manhattan,yes
Mickey's,"44 W 54th St, New York, NY 10019",restaurant/cabaret,1982,1983,Manhattan,yes
Old Forge,"179 3rd Ave, New York, NY 10003",restaurant,1982,1983,Manhattan,yes
Onstage,"349 W 46th St, New York, NY 10036",restaurant/cabaret,1982,1983,Manhattan,yes
Patrick's,"142 W 10th St, New York, NY 10014",restaurant,1982,1983,Manhattan,yes
Pete's Café,"135 8th Ave, New York, NY 10011",restaurant,1982,1983,Manhattan,yes
Priory,"224 E 53rd St, New York, NY 10022",restaurant/cabaret,1982,1983,Manhattan,yes
Rumbul's,"20 Christopher St, New York, NY 10014",restaurant,1982,1983,Manhattan,yes
SOB's,"204 Varick St, New York, NY 10014",restaurant,1982,2025,Manhattan,no
The East Five Three,"244 E 53rd St, New York, NY 10022",restaurant/cabaret,1982,1983,Manhattan,yes
TJ's,"957 1st Ave., New York, NY 10022",restaurant/cabaret,1982,1983,Manhattan,yes
Tyson's Restaurant,"756 9th Ave, New York, NY 10019",restaurant,1982,1983,Manhattan,yes
Upstream,"150 E 39th St, New York, NY 10016",restaurant/cabaret,1982,1983,Manhattan,yes
Van Buren,"349 W 46th St, New York, NY 10036",restaurant,1982,1983,Manhattan,yes
Cubby hole,"281 W 12th St, New York, NY 10014",bar,1983,1990,Manhattan,no
Browne and Ferri,"396 Van Duzer St, Staten Island, NY 10304",bar/restaurant,1983,1995,Staten Island,
Northern Men's Sauna,"137-08 Northern Blvd, Flushing, NY 11354",baths,1983,1994,Queens,no
A Different Light,"548 Hudson St, New York, NY 10014",bookstore,1983,2001,Manhattan,no
Limelight,"47 W 20th St, New York, NY 10011",disco,1983,2007,Manhattan,no
Crawfords,"957 1st Ave, New York, NY 10022",restaurant,1983,1984,Manhattan,yes
Inner Circle,"13 Jane St, New York, NY 10014",restaurant/cabaret,1983,1984,Manhattan,yes
Monster,"80 Grove St, New York, NY 10014",restaurant,1983,1998,Manhattan,yes
Nightbird,"92 2nd Ave, New York, NY 10003",restaurant,1983,1984,Manhattan,yes
Pharoah,"8 Christopher St, New York, NY 10014",restaurant,1983,1984,Manhattan,yes
Scotts on Tenth,"130 10th Ave, New York, NY 10011",restaurant/cabaret,1983,1984,Manhattan,yes
Silver lining,"349 W 46th St, New York, NY 10036",restaurant,1983,1988,Manhattan,yes
Wine Press,"1160 1st Ave., New York, NY 10065",restaurant,1983,1984,Manhattan,yes
Grove Café,"70 Grove St, New York, NY 10014",juice bar,1984,1989,Manhattan,yes
Holland,"351 W 42nd St, New York, NY 10036",restaurant,1984,1985,Manhattan,yes
